review_text,date,category,rating,helpful_votes
Fantastic! Highly recommend.,2023-09-06,Health & Beauty,2,15
Will definitely buy from this seller again.,2023-12-17,Books,2,12
The worst product I have ever bought.,2023-09-12,Electronics,4,6
"Great quality, will buy again.",2024-06-24,Books,1,14
The item arrived late and was damaged.,2024-05-13,Toys,2,11
This product exceeded my expectations!,2023-11-19,Electronics,3,6
Excellent value for money.,2023-12-06,Clothing,2,11
The item arrived late and was damaged.,2024-02-19,Sports,5,1
Not worth the money. Very disappointed.,2024-03-27,Electronics,3,0
Will definitely buy from this seller again.,2024-03-27,Clothing,1,4
This product exceeded my expectations!,2023-12-19,Electronics,1,14
Fantastic! Highly recommend.,2023-09-04,Clothing,1,5
This product exceeded my expectations!,2024-01-24,Home & Garden,2,13
This product exceeded my expectations!,2024-05-14,Clothing,2,17
"Great quality, will buy again.",2024-05-19,Office Supplies,4,11
Terrible customer service.,2024-07-01,Automotive,1,4
Not worth the money. Very disappointed.,2024-03-27,Office Supplies,4,16
Fantastic! Highly recommend.,2024-08-06,Home & Garden,4,5
Fantastic! Highly recommend.,2024-02-10,Home & Garden,1,18
I am very happy with this purchase.,2024-01-18,Toys,5,5
Fantastic! Highly recommend.,2023-12-07,Electronics,5,4
The item arrived late and was damaged.,2023-12-04,Clothing,4,11
Fantastic! Highly recommend.,2024-03-26,Automotive,3,1
I am very happy with this purchase.,2023-11-08,Clothing,1,3
The worst product I have ever bought.,2024-07-18,Office Supplies,1,13
The item arrived late and was damaged.,2023-12-23,Health & Beauty,5,12
Fantastic! Highly recommend.,2024-02-16,Clothing,5,8
Excellent value for money.,2024-08-05,Books,1,19
Excellent value for money.,2024-02-16,Health & Beauty,1,16
The worst product I have ever bought.,2024-04-17,Clothing,4,2
Will definitely buy from this seller again.,2024-04-19,Electronics,2,10
Not worth the money. Very disappointed.,2023-12-22,Toys,4,12
Will definitely buy from this seller again.,2023-10-23,Home & Garden,3,11
I am very happy with this purchase.,2024-05-24,Home & Garden,3,12
Terrible customer service.,2023-10-14,Electronics,5,0
Will definitely buy from this seller again.,2023-12-06,Office Supplies,1,9
This product exceeded my expectations!,2024-06-05,Sports,3,3
Excellent value for money.,2023-09-02,Home & Garden,2,4
The item arrived late and was damaged.,2023-12-02,Clothing,3,6
"Great quality, will buy again.",2024-04-09,Office Supplies,2,8
Not worth the money. Very disappointed.,2024-07-30,Electronics,4,0
Fantastic! Highly recommend.,2024-08-09,Automotive,5,14
"Great quality, will buy again.",2024-02-06,Sports,4,7
Fantastic! Highly recommend.,2024-03-08,Sports,1,2
"Great quality, will buy again.",2024-02-20,Office Supplies,2,6
Fantastic! Highly recommend.,2023-11-26,Automotive,4,20
Excellent value for money.,2024-07-10,Books,5,2
Terrible customer service.,2024-06-24,Clothing,3,14
I am very happy with this purchase.,2024-04-29,Sports,3,0
Will definitely buy from this seller again.,2024-01-06,Automotive,2,9
I am very happy with this purchase.,2023-10-19,Electronics,4,14
Will definitely buy from this seller again.,2024-06-18,Clothing,5,9
Terrible customer service.,2023-10-22,Health & Beauty,2,4
"Great quality, will buy again.",2024-08-09,Office Supplies,2,8
Excellent value for money.,2023-08-28,Books,2,3
This product exceeded my expectations!,2024-03-16,Office Supplies,4,17
The worst product I have ever bought.,2024-08-01,Clothing,2,4
Excellent value for money.,2024-07-05,Health & Beauty,5,10
The worst product I have ever bought.,2024-04-30,Office Supplies,3,17
This product exceeded my expectations!,2023-11-06,Clothing,5,8
Terrible customer service.,2023-10-02,Clothing,1,6
This product exceeded my expectations!,2024-04-29,Toys,5,15
The worst product I have ever bought.,2024-01-04,Books,5,17
Excellent value for money.,2024-01-27,Electronics,2,4
I am very happy with this purchase.,2024-08-01,Home & Garden,2,18
I am very happy with this purchase.,2024-02-07,Electronics,2,18
Not worth the money. Very disappointed.,2024-08-09,Health & Beauty,3,17
Will definitely buy from this seller again.,2024-01-23,Toys,2,20
Not worth the money. Very disappointed.,2024-02-19,Automotive,1,14
Not worth the money. Very disappointed.,2024-03-07,Toys,1,2
Will definitely buy from this seller again.,2024-07-09,Home & Garden,2,3
Excellent value for money.,2024-03-08,Clothing,3,9
"Great quality, will buy again.",2024-04-08,Books,4,2
The worst product I have ever bought.,2024-01-10,Toys,1,9
This product exceeded my expectations!,2023-12-23,Health & Beauty,1,5
I am very happy with this purchase.,2024-07-30,Sports,1,7
This product exceeded my expectations!,2023-10-11,Home & Garden,1,2
Terrible customer service.,2024-06-26,Electronics,5,5
Terrible customer service.,2024-05-09,Office Supplies,4,4
This product exceeded my expectations!,2024-02-10,Home & Garden,3,16
The worst product I have ever bought.,2024-04-30,Sports,2,13
"Great quality, will buy again.",2024-04-03,Office Supplies,1,16
The item arrived late and was damaged.,2023-09-29,Sports,4,18
The item arrived late and was damaged.,2024-03-05,Automotive,3,9
Excellent value for money.,2023-12-21,Clothing,5,19
Will definitely buy from this seller again.,2023-11-26,Sports,2,3
"Great quality, will buy again.",2024-05-23,Home & Garden,3,5
I am very happy with this purchase.,2024-02-23,Automotive,2,3
The item arrived late and was damaged.,2023-10-06,Home & Garden,2,15
The item arrived late and was damaged.,2023-12-04,Clothing,4,3
Terrible customer service.,2024-06-04,Electronics,4,18
The item arrived late and was damaged.,2024-03-16,Automotive,4,2
This product exceeded my expectations!,2023-11-12,Health & Beauty,3,2
Will definitely buy from this seller again.,2023-11-01,Electronics,4,12
The worst product I have ever bought.,2023-12-31,Toys,4,5
Will definitely buy from this seller again.,2024-07-31,Home & Garden,4,7
Not worth the money. Very disappointed.,2024-01-06,Automotive,2,9
Excellent value for money.,2024-02-19,Toys,3,17
Will definitely buy from this seller again.,2024-02-06,Books,2,5
This product exceeded my expectations!,2023-11-13,Books,1,17
Fantastic! Highly recommend.,2023-08-16,Sports,4,17
Fantastic! Highly recommend.,2024-04-16,Toys,3,9
The item arrived late and was damaged.,2023-09-28,Books,2,14
"Great quality, will buy again.",2024-04-07,Sports,2,8
Terrible customer service.,2024-01-05,Electronics,1,7
"Great quality, will buy again.",2024-01-20,Books,1,13
The worst product I have ever bought.,2024-06-09,Office Supplies,3,8
Terrible customer service.,2024-04-15,Clothing,1,14
The worst product I have ever bought.,2024-01-25,Electronics,5,11
Will definitely buy from this seller again.,2024-03-31,Toys,5,6
I am very happy with this purchase.,2023-08-22,Automotive,3,9
Not worth the money. Very disappointed.,2024-03-09,Electronics,1,11
The worst product I have ever bought.,2023-11-11,Toys,4,8
Fantastic! Highly recommend.,2024-07-16,Health & Beauty,4,11
Not worth the money. Very disappointed.,2023-10-14,Health & Beauty,5,13
Will definitely buy from this seller again.,2024-07-15,Office Supplies,1,18
This product exceeded my expectations!,2023-12-19,Automotive,1,9
The worst product I have ever bought.,2024-07-11,Automotive,3,3
Not worth the money. Very disappointed.,2024-06-03,Home & Garden,2,8
This product exceeded my expectations!,2024-01-28,Home & Garden,2,15
Excellent value for money.,2023-10-07,Electronics,2,4
Excellent value for money.,2024-01-20,Office Supplies,2,12
Not worth the money. Very disappointed.,2023-12-21,Home & Garden,4,3
The item arrived late and was damaged.,2024-05-30,Office Supplies,2,10
This product exceeded my expectations!,2023-11-26,Automotive,3,0
Not worth the money. Very disappointed.,2024-02-16,Sports,5,9
This product exceeded my expectations!,2024-07-27,Clothing,3,3
The worst product I have ever bought.,2024-03-27,Health & Beauty,4,12
This product exceeded my expectations!,2024-07-11,Health & Beauty,2,19
Fantastic! Highly recommend.,2023-08-23,Home & Garden,2,0
This product exceeded my expectations!,2023-12-12,Health & Beauty,1,17
This product exceeded my expectations!,2023-11-05,Home & Garden,5,0
Fantastic! Highly recommend.,2024-06-05,Clothing,5,4
Terrible customer service.,2024-03-03,Books,5,11
Fantastic! Highly recommend.,2024-01-23,Office Supplies,1,0
Fantastic! Highly recommend.,2023-10-23,Health & Beauty,5,17
I am very happy with this purchase.,2023-09-16,Clothing,4,19
Will definitely buy from this seller again.,2024-03-23,Sports,1,12
Terrible customer service.,2023-12-21,Home & Garden,4,3
The item arrived late and was damaged.,2023-09-17,Clothing,1,14
The item arrived late and was damaged.,2023-12-01,Toys,5,13
This product exceeded my expectations!,2023-08-20,Automotive,4,17
Will definitely buy from this seller again.,2023-11-07,Toys,1,20
"Great quality, will buy again.",2024-02-26,Health & Beauty,2,18
This product exceeded my expectations!,2024-01-19,Clothing,5,2
The item arrived late and was damaged.,2023-08-28,Office Supplies,1,10
"Great quality, will buy again.",2024-07-03,Electronics,4,10
"Great quality, will buy again.",2023-11-22,Automotive,5,13
The worst product I have ever bought.,2024-07-05,Electronics,5,16
Fantastic! Highly recommend.,2024-08-06,Office Supplies,3,1
Fantastic! Highly recommend.,2023-10-26,Home & Garden,4,6
The worst product I have ever bought.,2023-12-08,Sports,1,10
Will definitely buy from this seller again.,2024-05-14,Electronics,2,5
Fantastic! Highly recommend.,2023-10-24,Home & Garden,1,18
Fantastic! Highly recommend.,2023-09-30,Health & Beauty,4,14
Terrible customer service.,2023-12-11,Clothing,3,20
Terrible customer service.,2023-10-27,Toys,3,11
Terrible customer service.,2024-05-10,Automotive,4,7
Fantastic! Highly recommend.,2024-07-26,Sports,2,14
The worst product I have ever bought.,2024-05-09,Books,3,1
Terrible customer service.,2024-04-01,Automotive,5,10
I am very happy with this purchase.,2024-01-14,Electronics,2,12
The worst product I have ever bought.,2023-08-30,Electronics,3,19
The item arrived late and was damaged.,2024-06-26,Automotive,2,13
I am very happy with this purchase.,2024-07-29,Electronics,5,8
Fantastic! Highly recommend.,2024-03-19,Automotive,4,12
Fantastic! Highly recommend.,2024-04-22,Health & Beauty,2,13
This product exceeded my expectations!,2023-11-11,Sports,3,0
Not worth the money. Very disappointed.,2023-10-07,Electronics,4,5
"Great quality, will buy again.",2023-12-20,Sports,4,19
Excellent value for money.,2024-01-07,Health & Beauty,4,10
"Great quality, will buy again.",2024-04-14,Electronics,1,9
Terrible customer service.,2023-11-24,Clothing,4,13
The worst product I have ever bought.,2024-07-20,Home & Garden,4,3
The worst product I have ever bought.,2024-03-23,Automotive,2,20
Fantastic! Highly recommend.,2024-08-04,Automotive,2,17
Not worth the money. Very disappointed.,2024-06-10,Toys,4,11
Not worth the money. Very disappointed.,2023-10-08,Health & Beauty,1,6
Not worth the money. Very disappointed.,2023-12-06,Automotive,2,2
"Great quality, will buy again.",2023-10-20,Automotive,4,18
The item arrived late and was damaged.,2024-02-10,Clothing,5,9
Fantastic! Highly recommend.,2023-09-30,Home & Garden,2,15
Excellent value for money.,2024-03-24,Books,2,17
The worst product I have ever bought.,2023-08-22,Books,4,6
Not worth the money. Very disappointed.,2023-10-10,Health & Beauty,2,20
I am very happy with this purchase.,2023-11-18,Health & Beauty,4,8
The worst product I have ever bought.,2023-10-25,Automotive,2,8
Terrible customer service.,2024-06-16,Books,1,7
The item arrived late and was damaged.,2024-05-15,Books,5,14
Excellent value for money.,2024-01-16,Sports,2,8
"Great quality, will buy again.",2024-02-09,Office Supplies,5,5
Excellent value for money.,2024-02-14,Office Supplies,2,4
Terrible customer service.,2023-10-12,Toys,4,0
The item arrived late and was damaged.,2023-12-19,Health & Beauty,4,5
The item arrived late and was damaged.,2024-04-08,Clothing,1,3
The item arrived late and was damaged.,2023-12-12,Sports,1,4
The worst product I have ever bought.,2024-03-26,Sports,3,19
"Great quality, will buy again.",2023-11-13,Automotive,4,14
Excellent value for money.,2023-09-13,Books,3,14
Will definitely buy from this seller again.,2024-01-24,Home & Garden,4,15
This product exceeded my expectations!,2024-04-06,Toys,2,6
The worst product I have ever bought.,2024-07-19,Clothing,2,15
The worst product I have ever bought.,2024-06-03,Office Supplies,2,2
Not worth the money. Very disappointed.,2024-01-11,Books,3,20
Will definitely buy from this seller again.,2024-07-20,Books,3,5
Excellent value for money.,2023-09-15,Automotive,3,8
Terrible customer service.,2024-05-12,Toys,4,20
"Great quality, will buy again.",2023-12-01,Books,3,8
"Great quality, will buy again.",2024-05-03,Office Supplies,2,15
Excellent value for money.,2023-09-07,Health & Beauty,1,12
Excellent value for money.,2023-11-07,Home & Garden,3,16
Will definitely buy from this seller again.,2023-11-15,Automotive,5,19
"Great quality, will buy again.",2023-10-19,Clothing,4,9
Will definitely buy from this seller again.,2024-05-29,Health & Beauty,4,18
"Great quality, will buy again.",2023-10-12,Automotive,3,20
Not worth the money. Very disappointed.,2024-05-05,Books,5,20
The item arrived late and was damaged.,2024-01-13,Clothing,5,8
The item arrived late and was damaged.,2024-04-14,Sports,5,9
I am very happy with this purchase.,2023-08-29,Electronics,3,1
The worst product I have ever bought.,2023-09-24,Books,1,20
Excellent value for money.,2023-09-01,Office Supplies,2,16
Fantastic! Highly recommend.,2024-08-13,Sports,3,19
Not worth the money. Very disappointed.,2023-09-02,Automotive,1,2
Not worth the money. Very disappointed.,2024-08-12,Health & Beauty,4,19
The item arrived late and was damaged.,2023-08-21,Sports,3,17
Terrible customer service.,2024-07-14,Automotive,5,8
The worst product I have ever bought.,2024-08-02,Clothing,5,15
The item arrived late and was damaged.,2023-11-30,Electronics,2,4
The worst product I have ever bought.,2023-09-24,Clothing,5,10
Fantastic! Highly recommend.,2024-07-22,Electronics,3,8
I am very happy with this purchase.,2024-07-22,Books,1,7
Fantastic! Highly recommend.,2024-05-02,Electronics,4,5
The item arrived late and was damaged.,2024-08-02,Clothing,1,17
"Great quality, will buy again.",2023-11-28,Toys,3,5
Will definitely buy from this seller again.,2024-03-10,Home & Garden,1,13
Not worth the money. Very disappointed.,2024-04-16,Health & Beauty,4,7
"Great quality, will buy again.",2024-01-16,Electronics,1,4
Terrible customer service.,2024-08-11,Automotive,5,9
The item arrived late and was damaged.,2024-01-21,Home & Garden,5,9
Fantastic! Highly recommend.,2024-01-04,Toys,3,9
The item arrived late and was damaged.,2024-03-14,Sports,5,7
I am very happy with this purchase.,2023-09-06,Office Supplies,1,15
Terrible customer service.,2024-01-15,Clothing,5,16
