review_text,date,category,rating,helpful_votes
The worst product I have ever bought.,2024-01-03,Shipping,5,19
Terrible customer service.,2024-03-02,Automotive,2,0
The worst product I have ever bought.,2024-01-19,Automotive,2,17
Will definitely buy from this seller again.,2023-10-25,Customer Service,3,14
Terrible customer service.,2023-08-24,Clothing,2,0
Terrible customer service.,2024-06-04,Home & Garden,2,13
Terrible customer service.,2023-09-15,Electronics,2,18
"Great quality, will buy again.",2023-10-16,Shipping,4,9
This product exceeded my expectations!,2024-07-16,Clothing,2,17
This product exceeded my expectations!,2024-05-20,Clothing,3,11
The worst product I have ever bought.,2024-05-02,Electronics,4,19
Will definitely buy from this seller again.,2024-01-01,Electronics,1,20
Not worth the money. Very disappointed.,2023-10-20,Automotive,5,8
"Great quality, will buy again.",2024-01-21,Electronics,2,19
The item arrived late and was damaged.,2024-01-29,Clothing,4,19
Will definitely buy from this seller again.,2024-05-29,Automotive,2,14
Not worth the money. Very disappointed.,2023-08-20,Automotive,3,19
Will definitely buy from this seller again.,2024-07-13,Electronics,3,15
The item arrived late and was damaged.,2023-11-26,Electronics,3,1
The worst product I have ever bought.,2023-09-29,Electronics,5,17
The item arrived late and was damaged.,2024-02-15,Clothing,5,7
"Great quality, will buy again.",2024-03-21,Clothing,3,8
I am very happy with this purchase.,2024-06-02,Shipping,5,5
Excellent value for money.,2024-07-16,Shipping,4,20
I am very happy with this purchase.,2024-05-26,Automotive,2,12
Fantastic! Highly recommend.,2023-12-22,Home & Garden,1,3
Fantastic! Highly recommend.,2023-12-17,Customer Service,5,11
Fantastic! Highly recommend.,2024-01-04,Clothing,2,16
This product exceeded my expectations!,2023-09-14,Automotive,5,2
"Great quality, will buy again.",2023-11-11,Shipping,1,8
I am very happy with this purchase.,2024-04-14,Shipping,4,3
I am very happy with this purchase.,2023-10-02,Customer Service,2,14
The item arrived late and was damaged.,2024-04-12,Electronics,4,16
I am very happy with this purchase.,2023-11-25,Home & Garden,4,8
"Great quality, will buy again.",2023-08-27,Home & Garden,3,0
"Great quality, will buy again.",2023-08-12,Home & Garden,3,4
Terrible customer service.,2024-02-08,Automotive,4,18
I am very happy with this purchase.,2024-05-30,Home & Garden,3,8
Will definitely buy from this seller again.,2024-02-16,Home & Garden,3,5
Terrible customer service.,2024-03-30,Shipping,3,12
Will definitely buy from this seller again.,2024-08-09,Automotive,2,1
I am very happy with this purchase.,2023-10-19,Shipping,3,16
Will definitely buy from this seller again.,2023-11-22,Shipping,5,16
"Great quality, will buy again.",2024-06-26,Automotive,3,2
This product exceeded my expectations!,2023-09-14,Shipping,3,11
Not worth the money. Very disappointed.,2024-03-26,Electronics,1,11
Excellent value for money.,2024-04-01,Shipping,3,7
This product exceeded my expectations!,2024-07-10,Automotive,2,15
The worst product I have ever bought.,2023-10-22,Electronics,3,11
I am very happy with this purchase.,2023-11-23,Clothing,1,10
The item arrived late and was damaged.,2023-09-02,Clothing,1,8
Not worth the money. Very disappointed.,2023-11-10,Automotive,1,12
The item arrived late and was damaged.,2024-07-28,Home & Garden,5,1
Excellent value for money.,2023-12-22,Electronics,5,13
Not worth the money. Very disappointed.,2024-07-13,Home & Garden,1,3
Will definitely buy from this seller again.,2024-07-30,Customer Service,2,19
The worst product I have ever bought.,2024-01-27,Automotive,1,1
Terrible customer service.,2023-10-01,Customer Service,1,14
Fantastic! Highly recommend.,2023-11-05,Electronics,2,5
Will definitely buy from this seller again.,2024-01-16,Clothing,1,15
The worst product I have ever bought.,2024-01-17,Clothing,4,18
Not worth the money. Very disappointed.,2023-08-22,Customer Service,1,19
"Great quality, will buy again.",2023-10-18,Customer Service,5,19
"Great quality, will buy again.",2024-01-07,Electronics,2,20
Fantastic! Highly recommend.,2023-12-15,Customer Service,1,9
I am very happy with this purchase.,2024-06-01,Clothing,4,6
"Great quality, will buy again.",2024-05-01,Clothing,2,3
Terrible customer service.,2023-09-10,Home & Garden,1,12
This product exceeded my expectations!,2024-03-03,Clothing,5,17
Will definitely buy from this seller again.,2023-09-17,Electronics,3,13
The worst product I have ever bought.,2024-04-06,Customer Service,4,19
This product exceeded my expectations!,2023-12-11,Home & Garden,3,19
Not worth the money. Very disappointed.,2024-06-26,Customer Service,3,0
Terrible customer service.,2024-08-01,Shipping,3,15
Excellent value for money.,2024-02-28,Home & Garden,5,12
Not worth the money. Very disappointed.,2024-01-18,Home & Garden,2,19
This product exceeded my expectations!,2024-06-12,Customer Service,4,11
Excellent value for money.,2024-07-01,Shipping,2,6
This product exceeded my expectations!,2024-08-06,Customer Service,3,6
The item arrived late and was damaged.,2024-01-04,Shipping,4,14
I am very happy with this purchase.,2023-09-12,Shipping,1,18
I am very happy with this purchase.,2024-06-30,Shipping,3,12
Terrible customer service.,2023-09-25,Clothing,1,16
The item arrived late and was damaged.,2023-09-20,Electronics,1,1
I am very happy with this purchase.,2024-03-30,Shipping,1,11
This product exceeded my expectations!,2023-09-15,Customer Service,1,14
This product exceeded my expectations!,2023-09-19,Clothing,3,3
I am very happy with this purchase.,2024-02-18,Automotive,1,15
Terrible customer service.,2024-03-10,Clothing,1,20
"Great quality, will buy again.",2024-01-31,Electronics,1,7
"Great quality, will buy again.",2024-04-13,Automotive,5,14
Fantastic! Highly recommend.,2024-08-11,Clothing,4,11
Not worth the money. Very disappointed.,2023-11-14,Customer Service,2,1
The item arrived late and was damaged.,2024-06-01,Customer Service,3,12
The worst product I have ever bought.,2023-12-29,Automotive,4,3
Not worth the money. Very disappointed.,2023-09-07,Clothing,5,19
The item arrived late and was damaged.,2023-08-24,Clothing,4,20
Will definitely buy from this seller again.,2023-08-21,Shipping,2,15
Terrible customer service.,2024-04-21,Electronics,5,18
Terrible customer service.,2023-10-22,Home & Garden,3,0
The item arrived late and was damaged.,2024-02-23,Automotive,1,9
Excellent value for money.,2024-06-26,Customer Service,3,7
The item arrived late and was damaged.,2024-01-10,Customer Service,1,8
Fantastic! Highly recommend.,2023-12-18,Electronics,5,2
This product exceeded my expectations!,2023-09-09,Home & Garden,5,3
Will definitely buy from this seller again.,2024-02-14,Automotive,5,8
Will definitely buy from this seller again.,2024-06-02,Customer Service,4,12
Terrible customer service.,2023-09-27,Home & Garden,3,16
The item arrived late and was damaged.,2024-07-01,Clothing,1,18
"Great quality, will buy again.",2023-10-30,Shipping,3,1
The worst product I have ever bought.,2024-03-11,Customer Service,5,9
Not worth the money. Very disappointed.,2023-08-25,Electronics,4,17
Fantastic! Highly recommend.,2023-11-02,Home & Garden,5,9
Terrible customer service.,2024-02-09,Clothing,3,11
Excellent value for money.,2023-12-20,Customer Service,4,11
I am very happy with this purchase.,2024-04-09,Automotive,2,0
Not worth the money. Very disappointed.,2024-01-02,Electronics,5,19
Terrible customer service.,2024-03-10,Customer Service,2,19
"Great quality, will buy again.",2024-07-05,Electronics,5,17
Will definitely buy from this seller again.,2024-05-06,Customer Service,5,5
The item arrived late and was damaged.,2023-11-07,Automotive,2,3
"Great quality, will buy again.",2023-12-19,Shipping,4,8
The worst product I have ever bought.,2024-03-15,Home & Garden,5,5
Will definitely buy from this seller again.,2024-02-17,Home & Garden,4,16
"Great quality, will buy again.",2024-04-03,Automotive,4,13
"Great quality, will buy again.",2023-09-05,Shipping,4,1
Not worth the money. Very disappointed.,2023-11-28,Clothing,2,1
The worst product I have ever bought.,2023-11-04,Home & Garden,2,13
The item arrived late and was damaged.,2024-05-30,Clothing,2,20
This product exceeded my expectations!,2024-03-06,Home & Garden,1,6
Not worth the money. Very disappointed.,2024-07-03,Automotive,4,3
Terrible customer service.,2024-01-18,Clothing,3,5
This product exceeded my expectations!,2023-09-06,Home & Garden,2,12
I am very happy with this purchase.,2024-01-12,Home & Garden,1,17
I am very happy with this purchase.,2024-06-20,Home & Garden,5,4
Excellent value for money.,2024-03-20,Automotive,4,6
Excellent value for money.,2024-06-08,Clothing,4,17
Terrible customer service.,2023-12-01,Automotive,1,6
The worst product I have ever bought.,2023-09-01,Clothing,1,16
This product exceeded my expectations!,2023-11-22,Clothing,1,10
The worst product I have ever bought.,2024-04-25,Customer Service,3,10
I am very happy with this purchase.,2023-09-17,Automotive,4,5
Terrible customer service.,2023-08-30,Customer Service,3,20
This product exceeded my expectations!,2024-08-11,Customer Service,2,1
Excellent value for money.,2024-01-07,Customer Service,3,19
Excellent value for money.,2023-09-30,Automotive,5,0
Excellent value for money.,2024-04-16,Automotive,5,14
Excellent value for money.,2024-07-24,Electronics,5,7
I am very happy with this purchase.,2023-12-22,Home & Garden,3,16
I am very happy with this purchase.,2024-07-30,Electronics,3,17
Not worth the money. Very disappointed.,2023-10-22,Home & Garden,5,19
Terrible customer service.,2023-10-17,Home & Garden,2,3
The item arrived late and was damaged.,2024-02-03,Home & Garden,1,1
Terrible customer service.,2023-12-12,Electronics,1,2
The worst product I have ever bought.,2023-11-17,Electronics,2,11
I am very happy with this purchase.,2023-09-15,Home & Garden,2,9
Not worth the money. Very disappointed.,2024-02-13,Customer Service,3,20
Excellent value for money.,2024-08-04,Automotive,4,18
"Great quality, will buy again.",2023-10-24,Automotive,1,13
Fantastic! Highly recommend.,2024-02-02,Automotive,4,5
Excellent value for money.,2024-08-04,Electronics,5,10
"Great quality, will buy again.",2024-01-06,Shipping,5,10
Will definitely buy from this seller again.,2024-02-19,Electronics,3,1
Will definitely buy from this seller again.,2023-09-18,Electronics,5,1
Terrible customer service.,2024-06-06,Customer Service,5,8
The worst product I have ever bought.,2023-11-18,Home & Garden,2,0
I am very happy with this purchase.,2024-02-29,Electronics,2,6
I am very happy with this purchase.,2023-11-15,Automotive,5,14
I am very happy with this purchase.,2023-10-13,Customer Service,3,2
Not worth the money. Very disappointed.,2023-10-15,Shipping,1,17
"Great quality, will buy again.",2023-09-30,Automotive,1,16
Not worth the money. Very disappointed.,2024-03-11,Clothing,5,16
Excellent value for money.,2024-02-07,Electronics,3,19
I am very happy with this purchase.,2023-12-28,Clothing,3,18
"Great quality, will buy again.",2024-05-07,Shipping,3,12
The worst product I have ever bought.,2023-09-13,Clothing,1,0
"Great quality, will buy again.",2023-09-16,Automotive,3,2
Terrible customer service.,2024-05-10,Electronics,4,14
Excellent value for money.,2024-01-03,Automotive,1,0
Fantastic! Highly recommend.,2024-04-21,Customer Service,1,18
Fantastic! Highly recommend.,2024-04-17,Electronics,4,7
I am very happy with this purchase.,2024-02-27,Shipping,3,20
The worst product I have ever bought.,2024-05-10,Shipping,2,20
Excellent value for money.,2024-07-10,Automotive,5,17
Excellent value for money.,2024-07-21,Automotive,2,0
Terrible customer service.,2024-03-03,Home & Garden,4,5
The item arrived late and was damaged.,2023-11-23,Shipping,4,3
Excellent value for money.,2024-05-11,Clothing,4,8
The worst product I have ever bought.,2024-04-03,Automotive,3,10
Not worth the money. Very disappointed.,2023-09-16,Automotive,1,1
Not worth the money. Very disappointed.,2024-05-10,Home & Garden,2,5
I am very happy with this purchase.,2024-07-25,Customer Service,5,5
The item arrived late and was damaged.,2024-06-05,Automotive,3,18
Not worth the money. Very disappointed.,2023-10-01,Customer Service,1,5
Not worth the money. Very disappointed.,2024-01-26,Clothing,5,0
Excellent value for money.,2024-03-22,Automotive,5,6
Terrible customer service.,2024-07-30,Automotive,2,16
Terrible customer service.,2024-07-29,Customer Service,2,19
I am very happy with this purchase.,2023-08-28,Customer Service,1,16
Will definitely buy from this seller again.,2024-07-10,Home & Garden,1,10
"Great quality, will buy again.",2024-01-30,Electronics,5,11
Terrible customer service.,2023-09-19,Clothing,2,5
I am very happy with this purchase.,2024-03-19,Customer Service,4,5
The worst product I have ever bought.,2024-02-26,Clothing,3,1
"Great quality, will buy again.",2023-11-19,Clothing,5,6
The worst product I have ever bought.,2024-03-08,Shipping,1,10
Fantastic! Highly recommend.,2024-07-12,Clothing,2,2
"Great quality, will buy again.",2024-03-23,Shipping,1,0
The item arrived late and was damaged.,2024-06-09,Automotive,3,14
Fantastic! Highly recommend.,2023-11-01,Automotive,2,18
I am very happy with this purchase.,2024-06-13,Shipping,4,16
I am very happy with this purchase.,2023-08-26,Customer Service,1,2
Not worth the money. Very disappointed.,2024-06-23,Clothing,3,8
This product exceeded my expectations!,2024-02-14,Customer Service,1,6
"Great quality, will buy again.",2024-02-01,Customer Service,3,12
Terrible customer service.,2023-12-11,Electronics,3,10
This product exceeded my expectations!,2024-01-19,Automotive,5,5
Terrible customer service.,2023-10-10,Clothing,3,12
Not worth the money. Very disappointed.,2023-11-13,Home & Garden,5,19
Excellent value for money.,2024-02-28,Electronics,4,11
Excellent value for money.,2023-12-29,Electronics,1,20
Not worth the money. Very disappointed.,2024-01-28,Customer Service,4,19
"Great quality, will buy again.",2023-10-10,Automotive,4,3
The worst product I have ever bought.,2024-06-13,Customer Service,2,19
Fantastic! Highly recommend.,2023-08-13,Clothing,2,0
"Great quality, will buy again.",2024-02-09,Electronics,3,20
The item arrived late and was damaged.,2023-09-11,Electronics,4,19
Terrible customer service.,2023-10-24,Home & Garden,2,1
This product exceeded my expectations!,2024-01-08,Electronics,4,12
Will definitely buy from this seller again.,2024-06-11,Shipping,3,16
Excellent value for money.,2024-01-11,Customer Service,3,1
The worst product I have ever bought.,2024-07-03,Automotive,1,10
Fantastic! Highly recommend.,2024-02-26,Customer Service,3,15
Terrible customer service.,2023-12-28,Clothing,4,8
Will definitely buy from this seller again.,2024-06-25,Home & Garden,4,10
Will definitely buy from this seller again.,2024-01-22,Home & Garden,2,16
This product exceeded my expectations!,2024-01-15,Customer Service,4,12
The item arrived late and was damaged.,2023-11-11,Shipping,2,8
Fantastic! Highly recommend.,2024-02-01,Electronics,3,15
This product exceeded my expectations!,2023-11-13,Electronics,4,10
"Great quality, will buy again.",2024-08-07,Customer Service,2,17
"Great quality, will buy again.",2023-10-20,Customer Service,5,18
I am very happy with this purchase.,2024-02-22,Shipping,3,5
Excellent value for money.,2023-10-21,Automotive,5,16
Excellent value for money.,2023-10-09,Customer Service,1,18
Will definitely buy from this seller again.,2024-07-09,Automotive,2,9
The item arrived late and was damaged.,2023-09-19,Shipping,3,20
This product exceeded my expectations!,2024-01-29,Customer Service,3,9
The item arrived late and was damaged.,2024-01-25,Clothing,3,13
Will definitely buy from this seller again.,2024-07-01,Customer Service,2,15
Fantastic! Highly recommend.,2023-08-26,Home & Garden,1,17
The worst product I have ever bought.,2023-09-26,Home & Garden,5,13
Will definitely buy from this seller again.,2023-11-11,Automotive,2,15
Excellent value for money.,2023-08-22,Home & Garden,3,12
"Great quality, will buy again.",2023-08-21,Clothing,3,18
Excellent value for money.,2024-02-05,Customer Service,3,7
Not worth the money. Very disappointed.,2023-12-09,Clothing,5,7
Terrible customer service.,2024-03-25,Customer Service,1,1
Excellent value for money.,2024-01-15,Electronics,3,18
This product exceeded my expectations!,2024-06-19,Home & Garden,4,15
The worst product I have ever bought.,2023-10-17,Shipping,5,16
"Great quality, will buy again.",2024-01-24,Clothing,1,15
This product exceeded my expectations!,2023-10-25,Home & Garden,1,2
Will definitely buy from this seller again.,2023-12-10,Automotive,2,18
"Great quality, will buy again.",2023-12-20,Automotive,4,1
The worst product I have ever bought.,2024-01-01,Home & Garden,5,7
Terrible customer service.,2023-09-04,Automotive,2,3
Terrible customer service.,2024-06-13,Electronics,3,5
Terrible customer service.,2023-12-31,Electronics,1,15
Excellent value for money.,2024-02-27,Customer Service,5,8
Will definitely buy from this seller again.,2024-07-03,Automotive,3,12
Excellent value for money.,2024-07-22,Shipping,1,4
"Great quality, will buy again.",2024-04-17,Shipping,3,6
Not worth the money. Very disappointed.,2023-12-18,Electronics,3,3
Terrible customer service.,2024-01-25,Customer Service,1,14
Will definitely buy from this seller again.,2023-10-28,Shipping,2,10
Terrible customer service.,2023-09-27,Automotive,3,12
The worst product I have ever bought.,2023-11-29,Clothing,2,2
Terrible customer service.,2023-12-08,Electronics,1,14
The item arrived late and was damaged.,2024-07-10,Electronics,5,20
The worst product I have ever bought.,2023-12-02,Automotive,4,7
Excellent value for money.,2024-05-05,Clothing,5,4
Will definitely buy from this seller again.,2024-06-01,Shipping,1,9
This product exceeded my expectations!,2024-08-06,Customer Service,1,9
"Great quality, will buy again.",2023-09-20,Shipping,4,16
Not worth the money. Very disappointed.,2024-04-08,Home & Garden,5,11
Fantastic! Highly recommend.,2024-03-23,Automotive,3,18
I am very happy with this purchase.,2023-12-22,Home & Garden,5,12
"Great quality, will buy again.",2024-05-31,Shipping,4,13
Not worth the money. Very disappointed.,2023-11-12,Home & Garden,5,13
Will definitely buy from this seller again.,2024-05-25,Shipping,2,9
The item arrived late and was damaged.,2024-02-16,Customer Service,2,7
Not worth the money. Very disappointed.,2023-12-22,Automotive,4,13
Will definitely buy from this seller again.,2024-02-13,Clothing,3,8
Fantastic! Highly recommend.,2024-03-07,Home & Garden,3,6
I am very happy with this purchase.,2023-10-30,Home & Garden,4,12
This product exceeded my expectations!,2023-10-07,Home & Garden,5,10
I am very happy with this purchase.,2023-09-14,Electronics,3,11
Will definitely buy from this seller again.,2023-09-02,Clothing,4,2
The worst product I have ever bought.,2024-05-28,Clothing,5,11
The worst product I have ever bought.,2024-06-13,Electronics,2,8
The worst product I have ever bought.,2024-05-04,Customer Service,3,13
The worst product I have ever bought.,2023-09-26,Home & Garden,3,19
The worst product I have ever bought.,2023-08-18,Automotive,3,5
Excellent value for money.,2023-09-03,Electronics,2,16
Fantastic! Highly recommend.,2024-01-15,Home & Garden,4,9
"Great quality, will buy again.",2024-03-13,Home & Garden,2,14
I am very happy with this purchase.,2024-05-29,Electronics,3,2
I am very happy with this purchase.,2023-12-07,Home & Garden,3,0
"Great quality, will buy again.",2024-07-20,Home & Garden,5,6
Fantastic! Highly recommend.,2023-08-31,Home & Garden,3,10
Excellent value for money.,2024-03-13,Customer Service,1,9
The item arrived late and was damaged.,2024-05-05,Clothing,5,2
Will definitely buy from this seller again.,2023-09-13,Home & Garden,3,6
Not worth the money. Very disappointed.,2023-09-05,Clothing,3,16
The item arrived late and was damaged.,2024-05-05,Automotive,2,8
Fantastic! Highly recommend.,2023-10-24,Customer Service,5,6
I am very happy with this purchase.,2024-07-10,Shipping,3,11
Terrible customer service.,2023-08-12,Clothing,3,1
The worst product I have ever bought.,2023-08-15,Electronics,1,7
The item arrived late and was damaged.,2023-12-16,Clothing,2,10
"Great quality, will buy again.",2023-12-21,Shipping,5,17
Not worth the money. Very disappointed.,2023-12-31,Shipping,3,17
The item arrived late and was damaged.,2024-08-08,Home & Garden,2,16
Terrible customer service.,2023-08-16,Clothing,2,17
"Great quality, will buy again.",2024-03-23,Home & Garden,3,5
Not worth the money. Very disappointed.,2023-11-04,Automotive,3,14
"Great quality, will buy again.",2024-06-01,Clothing,3,15
Will definitely buy from this seller again.,2023-08-27,Automotive,5,0
Fantastic! Highly recommend.,2024-01-04,Electronics,4,19
Not worth the money. Very disappointed.,2023-10-29,Automotive,2,16
"Great quality, will buy again.",2024-05-22,Shipping,1,11
Excellent value for money.,2023-12-18,Home & Garden,2,2
Not worth the money. Very disappointed.,2024-04-26,Electronics,2,7
Will definitely buy from this seller again.,2024-05-02,Clothing,1,5
Excellent value for money.,2023-09-09,Clothing,3,17
Terrible customer service.,2024-01-28,Clothing,3,9
This product exceeded my expectations!,2024-02-11,Shipping,4,11
Fantastic! Highly recommend.,2024-01-09,Clothing,3,16
I am very happy with this purchase.,2024-02-09,Clothing,4,11
I am very happy with this purchase.,2024-01-07,Clothing,3,7
I am very happy with this purchase.,2024-01-06,Electronics,2,6
Terrible customer service.,2024-05-11,Shipping,2,20
The item arrived late and was damaged.,2023-09-03,Electronics,5,3
Fantastic! Highly recommend.,2024-07-21,Electronics,5,8
"Great quality, will buy again.",2024-02-06,Customer Service,4,17
The worst product I have ever bought.,2024-05-14,Shipping,1,0
The item arrived late and was damaged.,2024-04-03,Home & Garden,2,5
I am very happy with this purchase.,2024-07-22,Electronics,2,12
The item arrived late and was damaged.,2023-11-30,Shipping,2,3
The item arrived late and was damaged.,2024-03-18,Customer Service,3,11
"Great quality, will buy again.",2024-05-25,Shipping,3,3
Not worth the money. Very disappointed.,2023-09-06,Shipping,4,1
"Great quality, will buy again.",2024-06-26,Shipping,2,8
The item arrived late and was damaged.,2024-03-08,Shipping,5,15
Excellent value for money.,2024-06-10,Customer Service,3,12
The worst product I have ever bought.,2024-01-10,Clothing,5,0
Terrible customer service.,2024-07-27,Automotive,1,0
This product exceeded my expectations!,2024-03-18,Electronics,4,5
"Great quality, will buy again.",2023-10-21,Electronics,2,3
Excellent value for money.,2024-07-19,Automotive,4,13
Will definitely buy from this seller again.,2023-10-06,Shipping,3,5
Excellent value for money.,2023-11-09,Customer Service,4,5
"Great quality, will buy again.",2023-08-26,Electronics,3,6
The item arrived late and was damaged.,2024-08-03,Home & Garden,2,8
Not worth the money. Very disappointed.,2024-01-14,Home & Garden,3,5
I am very happy with this purchase.,2024-06-05,Home & Garden,2,0
Excellent value for money.,2023-12-18,Customer Service,2,7
"Great quality, will buy again.",2024-01-03,Home & Garden,3,0
Fantastic! Highly recommend.,2024-06-26,Clothing,3,6
Will definitely buy from this seller again.,2023-09-27,Customer Service,1,19
Fantastic! Highly recommend.,2024-03-30,Home & Garden,1,11
This product exceeded my expectations!,2023-10-09,Automotive,3,7
This product exceeded my expectations!,2023-12-24,Automotive,3,4
Will definitely buy from this seller again.,2024-02-17,Shipping,2,5
Not worth the money. Very disappointed.,2023-08-15,Automotive,2,5
The worst product I have ever bought.,2024-03-24,Automotive,2,1
The item arrived late and was damaged.,2024-03-21,Customer Service,4,1
"Great quality, will buy again.",2023-10-21,Customer Service,2,1
Terrible customer service.,2023-12-19,Customer Service,2,4
"Great quality, will buy again.",2023-11-25,Clothing,3,18
I am very happy with this purchase.,2023-08-24,Electronics,4,2
The item arrived late and was damaged.,2024-06-26,Customer Service,3,16
"Great quality, will buy again.",2023-11-30,Customer Service,4,20
I am very happy with this purchase.,2024-03-13,Shipping,5,5
Will definitely buy from this seller again.,2024-07-20,Electronics,4,18
Terrible customer service.,2023-10-06,Home & Garden,3,15
Will definitely buy from this seller again.,2023-08-22,Automotive,1,18
Will definitely buy from this seller again.,2024-03-02,Home & Garden,3,1
This product exceeded my expectations!,2024-05-16,Shipping,4,4
The worst product I have ever bought.,2024-06-09,Shipping,5,2
Will definitely buy from this seller again.,2023-09-06,Electronics,1,9
I am very happy with this purchase.,2024-03-16,Shipping,2,12
I am very happy with this purchase.,2024-06-24,Shipping,3,9
Excellent value for money.,2024-01-08,Electronics,5,6
Terrible customer service.,2023-10-01,Shipping,3,15
"Great quality, will buy again.",2023-10-06,Home & Garden,4,2
The worst product I have ever bought.,2024-03-11,Automotive,1,11
Terrible customer service.,2023-12-07,Automotive,1,12
Terrible customer service.,2023-12-02,Automotive,4,10
Excellent value for money.,2024-03-30,Customer Service,5,7
I am very happy with this purchase.,2024-01-29,Electronics,1,17
Will definitely buy from this seller again.,2024-07-08,Clothing,3,7
Not worth the money. Very disappointed.,2023-11-14,Electronics,1,1
Not worth the money. Very disappointed.,2023-10-15,Clothing,2,17
The worst product I have ever bought.,2023-08-21,Automotive,2,11
Fantastic! Highly recommend.,2024-06-07,Home & Garden,1,7
Excellent value for money.,2023-09-13,Shipping,4,3
Excellent value for money.,2023-11-02,Automotive,4,11
Not worth the money. Very disappointed.,2023-11-26,Clothing,4,13
The item arrived late and was damaged.,2024-03-05,Shipping,5,12
Terrible customer service.,2024-04-23,Customer Service,3,13
This product exceeded my expectations!,2023-12-15,Shipping,5,7
Excellent value for money.,2023-08-15,Automotive,4,0
The item arrived late and was damaged.,2023-10-23,Clothing,1,17
Excellent value for money.,2024-02-13,Home & Garden,1,9
Excellent value for money.,2024-07-11,Electronics,4,18
Excellent value for money.,2023-12-28,Home & Garden,2,18
The item arrived late and was damaged.,2024-05-05,Electronics,1,9
The worst product I have ever bought.,2024-04-06,Automotive,2,15
Not worth the money. Very disappointed.,2024-01-13,Shipping,3,12
This product exceeded my expectations!,2023-10-29,Home & Garden,2,3
I am very happy with this purchase.,2024-02-21,Customer Service,1,18
Not worth the money. Very disappointed.,2023-09-19,Customer Service,3,16
Fantastic! Highly recommend.,2023-08-27,Automotive,3,16
I am very happy with this purchase.,2024-05-30,Automotive,5,20
